team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
AERIAL AIRHEADS,RisingStocks,31,12,38.71,14203,458.16,28,0.9,5,0.16,61,1.97,86,2.77,202,6.52,71,2.29,33,1.06,32.56,373.72,47.42,68435,2207.58,51598,1664.45,16837,543.13,614,19.81,1443,46.55,13172,424.9,8747,282.16,4425,142.74,107,3.45,393,12.68,1076.31,34.72,878.33,28.33,5845,188.55,9185,296.29,1745,56.29,1394.06,14737496,475403.09,5945.79,191.8,4205.96,135.68,999.71,32.25,6819.12,219.97,3920.14,126.46,412.19,13.3,189.48,6.11,0.14,1369,44.16,3492.1,112.65,4054.7,130.8,2786.85,89.9,8364.66,269.83,7752.36,250.08,3399.1,109.65,6105.9,196.96,3120.7,100.67,1924.82,62.09,20,0.65,17,0.55
AERIAL AIRHEADS,Soch10,31,12,38.71,6511,210.03,10,0.32,10,0.32,18,0.58,37,1.19,202,6.52,71,2.29,15,0.48,27.03,205.51,59.05,40325,1300.81,25708,829.29,14617,471.52,339,10.94,1254,40.45,7848,253.16,4382,141.35,3466,111.81,60,1.94,287,9.26,468.76,15.12,2011.99,64.9,3073,99.13,8829,284.81,1630,52.58,1210.25,12747136,411197.94,7540.94,243.26,3141.11,101.33,469.98,15.16,7511.83,242.32,3484.74,112.41,155.38,5.01,232.53,7.5,0.28,822,26.52,3692.7,119.12,3781.6,121.99,3158.53,101.89,7993.46,257.85,7979.58,257.41,3172.35,102.33,6290.99,202.94,3077.8,99.28,1783.25,57.52,8,0.26,9,0.29
AERIAL AIRHEADS,kabrutis,31,12,38.71,3055,98.55,7,0.23,2,0.06,11,0.35,13,0.42,202,6.52,71,2.29,23,0.74,53.85,146.2,37.93,24759,798.68,10310,332.58,14449,466.1,125,4.03,1215,39.19,3460,111.61,562,18.13,2898,93.48,6,0.19,241,7.77,1952.63,62.99,881.33,28.43,3398,109.61,2496,80.52,70,2.26,1165.77,12144834,391768.84,8427.41,271.85,2421.03,78.1,288.37,9.3,8918.5,287.69,2165.82,69.87,52.52,1.69,138.34,4.46,0.46,314,10.13,3962.8,127.83,3094.4,99.82,2745.49,88.56,8391.37,270.69,8689.88,280.32,2446.99,78.94,6886.55,222.15,3011.28,97.14,1239.03,39.97,9,0.29,16,0.52
BANGBROS,David // RIP Izzy,27,18,66.67,12591,466.33,34,1.26,16,0.59,44,1.63,94,3.48,163,6.04,50,1.85,16,0.59,36.17,346.17,51.71,58388,2162.52,42806,1585.41,15582,577.11,586,21.7,1359,50.33,9854,364.96,5801,214.85,4053,150.11,76,2.81,355,13.15,797.3,29.53,1418.95,52.55,6446,238.74,13017,482.11,1138,42.15,1438.24,13867729,513619.59,5167.51,191.39,3905.88,144.66,1127.12,41.75,6693.4,247.9,3259.58,120.73,247.51,9.17,204.92,7.59,0.14,1486,55.04,3820,141.48,3140.4,116.31,2017.07,74.71,8183.4,303.09,7403.3,274.2,2797.13,103.6,5882.66,217.88,2739.9,101.48,1577.9,58.44,28,1.04,12,0.44
BANGBROS,FreakyFingerFred,27,18,66.67,7379,273.3,22,0.81,10,0.37,21,0.78,61,2.26,163,6.04,50,1.85,19,0.7,36.07,217.32,49.04,36020,1334.07,19805,733.52,16215,600.56,276,10.22,1406,52.07,8345,309.07,4005,148.33,4340,160.74,58,2.15,369,13.67,852.81,31.59,1445.68,53.54,9563,354.19,8125,300.93,1801,66.7,1325.51,12662669,468987.75,6201.31,229.68,3183.09,117.89,781.12,28.93,7091.94,262.66,2959.23,109.6,114.36,4.24,179.24,6.64,0.22,830,30.74,2814.8,104.25,3552.1,131.56,2715.13,100.56,7450.44,275.94,6581.77,243.77,3583.76,132.73,4956.47,183.57,3042.28,112.68,2166.79,80.25,15,0.56,24,0.89
BANGBROS,Ndowdle26,27,18,66.67,4980,184.44,9,0.33,9,0.33,15,0.56,30,1.11,163,6.04,50,1.85,15,0.56,30,279.87,47.69,48332,1790.07,32870,1217.41,15462,572.67,402,14.89,1343,49.74,7329,271.44,3835,142.04,3494,129.41,46,1.7,308,11.41,932.73,34.55,1275.95,47.26,6368,235.85,7304,270.52,766,28.37,1309.4,12625733,467619.75,6090.43,225.57,3530.06,130.74,567.75,21.03,7099.31,262.94,2928.48,108.46,160.46,5.94,26.26,0.97,0.35,50,1.85,3471.4,128.57,3243.5,120.13,2514.97,93.15,7673.25,284.19,7348.69,272.17,2839.52,105.17,5724.46,212.02,2821.37,104.5,1642.41,60.83,8,0.3,11,0.41
BIGBOOSTERBRAND,Ladevo Boost,24,17,70.83,8949,372.88,22,0.92,11,0.46,34,1.42,61,2.54,133,5.54,34,1.42,11,0.46,36.07,288.2,57.54,41051,1710.46,31334,1305.58,9717,404.88,405,16.88,872,36.33,8901,370.88,6487,270.29,2414,100.58,82,3.42,207,8.62,661.71,27.57,1066.39,44.43,3473,144.71,9556,398.17,1743,72.62,1300.44,10367255,431968.97,5094.02,212.25,2922.38,121.77,410.35,17.1,5616.25,234.01,2665.84,111.08,144.67,6.03,123.94,5.16,0.11,1130,47.08,3144.2,131.01,2468.8,102.87,1684.15,70.17,6742.58,280.94,5781.96,240.92,2644.78,110.2,4437.33,184.89,2436.96,101.54,1552.44,64.69,3,0.12,9,0.38
BIGBOOSTERBRAND,Robzo Boost,24,17,70.83,9188,382.83,29,1.21,6,0.25,30,1.25,75,3.12,133,5.54,34,1.42,14,0.58,38.67,320.38,45.92,43332,1805.5,28046,1168.58,15286,636.92,351,14.62,1302,54.25,12606,525.25,7305,304.38,5301,220.88,86,3.58,440,18.33,1129.18,47.05,1030.15,42.92,4803,200.12,6822,284.25,1134,47.25,1366.1,10872251,453010.47,4692.97,195.54,3120.3,130.01,603.89,25.16,5512.16,229.67,2691.09,112.13,213.91,8.91,158.85,6.62,0.12,1305,54.38,2612.4,108.85,3113.2,129.72,2243.38,93.47,6173.8,257.24,5234.67,218.11,3182.44,132.6,3860.86,160.87,2567.57,106.98,1988.81,82.87,20,0.83,15,0.62
BIGBOOSTERBRAND,SebasXx9,24,17,70.83,4226,176.08,10,0.42,10,0.42,11,0.46,28,1.17,133,5.54,34,1.42,9,0.38,35.71,223,41.5,29856,1244,15371,640.46,14485,603.54,200,8.33,1214,50.58,6477,269.88,2911,121.29,3566,148.58,38,1.58,301,12.54,1120.74,46.7,460.03,19.17,3675,153.12,4498,187.42,888,37,1287.56,10268786,427866.09,5405.78,225.24,2662.69,110.95,354.59,14.77,6034.97,251.46,2299.99,95.83,88.08,3.67,86.33,3.6,0.16,554,23.08,2523.3,105.14,2617.6,109.07,2247.45,93.64,6175.65,257.32,5648.94,235.37,2774.14,115.59,4182.3,174.26,2680.07,111.67,1560.71,65.03,6,0.25,13,0.54
BOOM SQUAD,CapnCatsneeze,29,15,51.72,3716,128.14,5,0.17,7,0.24,12,0.41,24,0.83,185,6.38,62,2.14,16,0.55,20.83,205.17,44.25,37070,1278.28,20472,705.93,16598,572.34,265,9.14,1407,48.52,5115,176.38,2364,81.52,2751,94.86,30,1.03,234,8.07,1168.62,40.3,1190.25,41.04,7530,259.66,6175,212.93,647,22.31,1268.88,13111509,452121,7244.33,249.8,3118.69,107.54,591.92,20.41,8052.59,277.68,2777.33,95.77,125,4.31,153.99,5.31,0.23,671,23.14,4383.3,151.15,2904.5,100.16,2492.46,85.95,8462.52,291.81,8509.17,293.42,2445.79,84.34,6715.74,231.58,2953.69,101.85,1285.5,44.33,9,0.31,12,0.41
