team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
AERIAL AIRHEADS,RisingStocks,20,7,35,8293,414.65,14,0.7,2,0.1,37,1.85,51,2.55,121,6.05,39,1.95,18,0.9,27.45,370.37,46.32,42753,2137.65,31964,1598.2,10789,539.45,374,18.7,911,45.55,7879,393.95,5108,255.4,2771,138.55,61,3.05,241,12.05,750.32,37.52,521.54,26.08,3249,162.45,4772,238.6,757,37.85,1380.28,9259837,462991.84,3797.16,189.86,2663.96,133.2,580.74,29.04,4283.5,214.18,2488.17,124.41,270.2,13.51,105.71,5.29,0.14,761,38.05,2343.1,117.16,2515.3,125.76,1767.06,88.35,5274.84,263.74,4908.71,245.44,2133.15,106.66,3854.97,192.75,1983.63,99.18,1203.22,60.16,12,0.6,11,0.55
AERIAL AIRHEADS,Soch10,20,7,35,4526,226.3,8,0.4,7,0.35,14,0.7,24,1.2,121,6.05,39,1.95,11,0.55,33.33,196.73,58.67,24488,1224.4,15330,766.5,9158,457.9,205,10.25,792,39.6,4806,240.3,2857,142.85,1949,97.45,38,1.9,169,8.45,277.5,13.88,1338.09,66.9,1744,87.2,5516,275.8,929,46.45,1202.78,8046671,402333.56,4777.15,238.86,1975.64,98.78,294.03,14.7,4800.65,240.03,2151.6,107.58,94.51,4.73,144.04,7.2,0.29,498,24.9,2607.9,130.39,2232.8,111.64,1898.07,94.9,5148.72,257.44,5127.5,256.38,1919.29,95.96,4078.3,203.91,1884.84,94.24,1083.69,54.18,6,0.3,5,0.25
AERIAL AIRHEADS,kabrutis,20,7,35,1449,72.45,3,0.15,0,0,4,0.2,6,0.3,121,6.05,39,1.95,10,0.5,50,151.88,37.86,16385,819.25,7236,361.8,9149,457.45,90,4.5,777,38.85,2511,125.55,462,23.1,2049,102.45,5,0.25,175,8.75,1324.52,66.23,604.31,30.22,2656,132.8,1938,96.9,58,2.9,1220.91,8107659,405382.94,5182.74,259.14,1642.46,82.12,207.8,10.39,5620.58,281.03,1374.28,68.71,38.17,1.91,68.26,3.41,0.5,135,6.75,2090.4,104.52,2173.4,108.67,1916.1,95.81,5116.95,255.85,5253.18,262.66,1779.88,88.99,4054.95,202.75,2050.11,102.51,928.03,46.4,5,0.25,10,0.5
BANGBROS,David // RIP Izzy,17,9,52.94,7265,427.35,17,1,9,0.53,29,1.71,52,3.06,115,6.76,36,2.12,12,0.71,32.69,358.03,52.12,37976,2233.88,27447,1614.53,10529,619.35,380,22.35,906,53.29,6110,359.41,3379,198.76,2731,160.65,46,2.71,235,13.82,465.22,27.37,866.32,50.96,4307,253.35,8643,508.41,737,43.35,1450.08,8758398,515199.88,3197.76,188.1,2466.5,145.09,726.09,42.71,4266.78,250.99,1960.05,115.3,163.49,9.62,131.53,7.74,0.15,901,53,2452.1,144.24,1929.6,113.51,1314.74,77.34,5075.58,298.56,4701.06,276.53,1689.22,99.37,3722.11,218.95,1725.98,101.53,942.23,55.43,18,1.06,9,0.53
BANGBROS,FreakyFingerFred,17,9,52.94,4543,267.24,12,0.71,5,0.29,15,0.88,34,2,115,6.76,36,2.12,14,0.82,35.29,216.79,50.67,22810,1341.76,12472,733.65,10338,608.12,176,10.35,901,53,5091,299.47,2330,137.06,2761,162.41,34,2,237,13.94,507.33,29.84,1010.23,59.43,6287,369.82,5337,313.94,1056,62.12,1332.53,7990813,470047.81,3865.46,227.38,2007.46,118.09,516.63,30.39,4480.69,263.57,1834.45,107.91,74.42,4.38,94.42,5.55,0.23,417,24.53,1963.7,115.51,2068.3,121.66,1657.1,97.48,4732.48,278.38,4266.57,250.97,2122.97,124.88,3229.25,189.96,1915.63,112.68,1244.69,73.22,9,0.53,11,0.65
BANGBROS,Ndowdle26,17,9,52.94,3204,188.47,6,0.35,6,0.35,11,0.65,17,1,115,6.76,36,2.12,10,0.59,35.29,290.27,47.8,31339,1843.47,21700,1276.47,9639,567,266,15.65,847,49.82,5161,303.59,2780,163.53,2381,140.06,33,1.94,214,12.59,554.53,32.62,836.56,49.21,4042,237.76,4819,283.47,526,30.94,1318.73,7979601,469388.28,3776.59,222.15,2261.22,133.01,357.95,21.06,4472.37,263.08,1822.82,107.22,100.57,5.92,17.39,1.02,0.39,32,1.88,1917.9,112.82,2229.4,131.14,1722.24,101.31,4673.51,274.91,4474.43,263.2,1921.31,113.02,3438.22,202.25,1825.85,107.4,1131.67,66.57,5,0.29,6,0.35
BIGBOOSTERBRAND,Ladevo Boost,8,6,75,2950,368.75,9,1.12,2,0.25,8,1,20,2.5,41,5.12,9,1.12,1,0.12,45,298.27,59.55,14250,1781.25,10957,1369.62,3293,411.62,144,18,298,37.25,3275,409.38,2261,282.62,1014,126.75,27,3.38,89,11.12,167.65,20.96,404.86,50.61,1369,171.12,3606,450.75,441,55.12,1331.29,3632068,454008.5,1683.92,210.49,1013.84,126.73,158.72,19.84,1914.36,239.3,888.58,111.07,53.55,6.69,37.27,4.66,0.11,361,45.12,949.9,118.74,880.1,110.01,596.1,74.51,2260.37,282.55,1850.77,231.35,1005.7,125.71,1370.15,171.27,923.77,115.47,562.57,70.32,1,0.12,0,0
BIGBOOSTERBRAND,Robzo Boost,8,6,75,2417,302.12,6,0.75,2,0.25,8,1,23,2.88,41,5.12,9,1.12,5,0.62,26.09,322.91,44.95,14954,1869.25,9587,1198.38,5367,670.88,126,15.75,447,55.88,4688,586,2527,315.88,2161,270.12,31,3.88,172,21.5,395.02,49.38,351.13,43.89,1875,234.38,3032,379,498,62.25,1397.97,3787667,473458.38,1500.49,187.56,1110.84,138.86,228.93,28.62,1866.78,233.35,895.42,111.93,78.08,9.76,49.94,6.24,0.12,406,50.75,829.3,103.66,1128.7,141.09,784.06,98.01,2056.2,257.02,1676.43,209.55,1163.84,145.48,1212.33,151.54,880.55,110.07,747.41,93.43,6,0.75,6,0.75
BIGBOOSTERBRAND,SebasXx9,8,6,75,1511,188.88,3,0.38,4,0.5,4,0.5,9,1.12,41,5.12,9,1.12,3,0.38,33.33,206.05,41.24,9534,1191.75,4559,569.88,4975,621.88,56,7,422,52.75,1777,222.12,774,96.75,1003,125.38,9,1.12,86,10.75,347.24,43.41,163.83,20.48,1297,162.12,1100,137.5,125,15.62,1255.16,3414919,426864.88,1872.03,234,870.57,108.82,107.17,13.4,2165.12,270.64,654.15,81.77,30.49,3.81,27.96,3.49,0.19,153,19.12,1020.7,127.59,769,96.12,661.29,82.66,2188.49,273.56,1975.15,246.89,874.63,109.33,1472.91,184.11,901.31,112.66,475.54,59.44,3,0.38,3,0.38
BOOM SQUAD,CapnCatsneeze,17,10,58.82,2164,127.29,4,0.24,4,0.24,8,0.47,10,0.59,104,6.12,38,2.24,8,0.47,40,215.5,43.61,23247,1367.47,13240,778.82,10007,588.65,171,10.06,851,50.06,3135,184.41,1373,80.76,1762,103.65,16,0.94,156,9.18,744.56,43.8,704.1,41.42,4942,290.71,3934,231.41,245,14.41,1281.43,7915758,465632.81,4285.77,252.1,1910.75,112.4,365.55,21.5,4812.49,283.09,1655.72,97.4,93.87,5.52,91.6,5.39,0.24,381,22.41,2620.9,154.17,1773.3,104.31,1499.68,88.22,5062.43,297.79,5055.86,297.4,1506.21,88.6,3947.44,232.2,1820.33,107.08,794.29,46.72,4,0.24,8,0.47
