team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
MOTION W LOTION;34;15;44.12;28808;847.29;61;1.79;32;0.94;98;2.88;204;6;218;6.41;77;2.26;29.9;879.71;158.19;184084;5414.24;130032;3824.47;54052;1589.76;1637;48.15;4544;133.65;26465;778.38;13452;395.65;13013;382.74;173;5.09;1120;32.94;3561.89;104.76;3337.43;98.16;26156;769.29;33710;991.47;3695;108.68;49767208;1463741.38;20740.05;610;14347.44;421.98;2828.89;83.2;24821.62;730.05;12521.02;368.27;573.82;16.88;765.5;22.51;0;5166;151.94;28117.72;826.99;9798.72;288.2;26710.05;785.59;11206.13;329.59;20889.88;614.41;10653.75;313.35;6372.71;187.43;33;0.97;54;1.59
BOOSTIALITY;43;20;46.51;36497;848.77;77;1.79;31;0.72;129;3;270;6.28;256;5.95;81;1.88;28.52;754.81;147.9;201780;4692.56;135302;3146.56;66478;1546;1691;39.33;5774;134.28;39325;914.53;23170;538.84;16155;375.7;291;6.77;1401;32.58;4713.36;109.61;6670.4;155.13;28290;657.91;34069;792.3;5533;128.67;54849328;1275565.75;31770.5;738.85;12866.4;299.22;2939.37;68.36;33738.22;784.61;12893.27;299.84;944.82;21.97;1215.19;28.26;0;7333;170.53;37053.41;861.71;10522.89;244.72;34745.89;808.04;12830.34;298.38;28058.96;652.53;12204.07;283.82;7313.41;170.08;44;1.02;75;1.74
BIGBOOSTERBRAND;32;20;62.50;29173;911.66;75;2.34;34;1.06;98;3.06;200;6.25;187;5.84;51;1.59;37.5;834.88;145.51;157255;4914.22;103598;3237.44;53657;1676.78;1318;41.19;4624;144.5;36141;1129.41;21311;665.97;14830;463.44;260;8.12;1260;39.38;4001.95;125.06;3525.63;110.18;16096;503;28640;895;4618;144.31;43149888;1348434;20549.19;642.16;12002.83;375.09;1923.97;60.12;23242.51;726.33;10617.81;331.81;615.7;19.24;506.42;15.83;0;4107;128.34;25855.61;807.99;8620.43;269.39;22877.71;714.93;11598.27;362.45;17209.47;537.8;10393.58;324.8;6873.02;214.78;44;1.38;55;1.72
AERIAL AIRHEADS;36;15;41.67;28565;793.47;57;1.58;25;0.69;108;3;161;4.47;230;6.39;77;2.14;35.4;723.61;146.24;153939;4276.08;100877;2802.14;53062;1473.94;1251;34.75;4539;126.08;28326;786.83;15937;442.69;12389;344.14;205;5.69;1055;29.31;3825.18;106.25;4374.23;121.51;14170;393.61;24640;684.44;4352;120.89;45747736;1270770.5;25237.31;701.04;11325.88;314.61;2014.02;55.94;26747.59;742.99;11087.94;308;741.65;20.6;662.21;18.39;0;2913;80.92;28642.29;795.62;9934.92;275.97;28149.38;781.93;10427.78;289.66;22224.44;617.35;10620.62;295.02;5732.2;159.23;40;1.11;45;1.25
WHAT A PLAY;31;6;19.35;21068;679.61;44;1.42;13;0.42;75;2.42;132;4.26;226;7.29;98;3.16;33.33;852.32;147.72;155645;5020.81;111760;3605.16;43885;1415.65;1389;44.81;3796;122.45;28425;916.94;17893;577.19;10532;339.74;216;6.97;898;28.97;4539.88;146.45;4423.95;142.71;27630;891.29;27454;885.61;3772;121.68;42695628;1377278.38;19250.11;620.97;11656.02;376;2572.75;82.99;22997.43;741.85;9910.98;319.71;570.39;18.4;527.4;17.01;0;2786;89.87;24129.91;778.38;9348.86;301.58;23663.8;763.35;9814.99;316.61;18417.75;594.12;9345.68;301.47;5715.37;184.37;61;1.97;49;1.58
LITTY KITTIES;37;21;56.76;34246;925.57;82;2.22;37;1;134;3.62;237;6.41;267;7.22;81;2.19;34.6;763.86;168.3;178421;4822.19;122021;3297.86;56400;1524.32;1555;42.03;5042;136.27;32729;884.57;19724;533.08;13005;351.49;252;6.81;1153;31.16;2805.06;75.81;6857.86;185.35;24122;651.95;33422;903.3;5211;140.84;49669080;1342407.62;26223.67;708.75;11914.99;322.03;3070.44;82.98;28737.77;776.7;11708.48;316.45;762.93;20.62;917.28;24.79;0;6197;167.49;32134.91;868.51;9074.22;245.25;30200.52;816.23;11008.58;297.53;24137.36;652.36;10984.54;296.88;6087.1;164.52;57;1.54;59;1.59
CROSSBAR KINGS;33;20;60.61;31575;956.82;83;2.52;43;1.3;102;3.09;223;6.76;192;5.82;64;1.94;37.22;898.88;152.35;180165;5459.55;119918;3633.88;60247;1825.67;1534;46.48;5301;160.64;40725;1234.09;23402;709.15;17323;524.94;298;9.03;1558;47.21;3230.3;97.89;3981.29;120.65;28834;873.76;34259;1038.15;6489;196.64;49006788;1485054.12;19565.01;592.88;13489.58;408.78;3382.06;102.49;24207.35;733.56;11566.93;350.51;662.46;20.07;658.47;19.95;0;5165;156.52;27144.23;822.55;9292.42;281.59;23796.48;721.11;12640.15;383.03;17994.94;545.3;10863.35;329.19;7578.46;229.65;144;4.36;58;1.76
BOOM SQUAD;36;16;44.44;30315;842.08;70;1.94;33;0.92;103;2.86;203;5.64;240;6.67;89;2.47;34.48;840.67;148.29;184869;5135.25;127975;3554.86;56894;1580.39;1588;44.11;4901;136.14;30036;834.33;17431;484.19;12605;350.14;231;6.42;1066;29.61;4066.56;112.96;5015.34;139.32;27333;759.25;31145;865.14;5376;149.33;51606268;1433507.5;23222.7;645.08;14502.61;402.85;2637.11;73.25;27176.56;754.9;12528.71;348.02;657.13;18.25;627.64;17.43;0;3437;95.47;30511.9;847.55;9850.53;273.63;29395.71;816.55;10966.64;304.63;23073.84;640.94;10910.6;303.07;6377.91;177.16;36;1;55;1.53
SMUT DADDIES;35;12;34.29;29086;831.03;61;1.74;31;0.89;107;3.06;207;5.91;235;6.71;79;2.26;29.47;810.8;165.36;179773;5136.37;126617;3617.63;53156;1518.74;1677;47.91;4642;132.63;37595;1074.14;23723;677.8;13872;396.34;312;8.91;1243;35.51;2681.31;76.61;5808.08;165.95;20013;571.8;41859;1195.97;7619;217.69;49068584;1401959.5;22351.27;638.61;13446.58;384.19;2991.82;85.48;25968.4;741.95;12065.63;344.73;755.56;21.59;854.02;24.4;0;5291;151.17;28244.94;807;10544.62;301.27;26461.12;756.03;12328.43;352.24;20417.73;583.36;11109.78;317.42;7261.98;207.49;43;1.23;56;1.6
BANGBROS;37;27;72.97;34178;923.73;94;2.54;49;1.32;101;2.73;249;6.73;203;5.49;64;1.73;37.75;842.65;148.62;191421;5173.54;128839;3482.14;62582;1691.41;1703;46.03;5426;146.65;34970;945.14;19132;517.08;15838;428.05;251;6.78;1354;36.59;3507.68;94.8;5671.39;153.28;29391;794.35;38082;1029.24;5196;140.43;52841072;1428137.12;23426.33;633.14;14423.58;389.83;3334.95;90.13;27814.06;751.73;12626.96;341.27;743.87;20.1;563.22;15.22;0;3291;88.95;31389.05;848.35;9795.8;264.75;28627.08;773.7;12557.71;339.4;22162.21;598.98;11685.12;315.81;7337.49;198.31;73;1.97;61;1.65
