team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
RIHANNAS TOILET;" ";33;12;36.36;13091;396.7;31;0.94;11;0.33;44;1.33;115;3.48;205;6.21;75;2.27;20;0.61;26.96;368.26;46.9;71267;2159.61;53348;1616.61;17919;543;658;19.94;1487;45.06;15359;465.42;10272;311.27;5087;154.15;125;3.79;422;12.79;1566.05;47.46;1262.93;38.27;9116;276.24;12364;374.67;2140;64.85;1402.64;15938875;482996.22;6502;197.03;4470.83;135.48;1031.77;31.27;7702.14;233.4;4081.17;123.67;221.31;6.71;287.4;8.71;0.09;3135;95;2549.6;77.26;5332.5;161.59;3303.91;100.12;8700.67;263.66;7882.85;238.87;4121.77;124.9;5963.92;180.72;3551.89;107.63;2488.85;75.42;19;0.58;28;0.85
SMUT DADDIES;A_S_Scrackbandit;35;12;34.29;7487;213.91;14;0.4;11;0.31;24;0.69;50;1.43;235;6.71;79;2.26;25;0.71;28;281.92;54.57;62372;1782.06;48138;1375.37;14234;406.69;634;18.11;1237;35.34;9117;260.49;5739;163.97;3378;96.51;79;2.26;301;8.6;1218.49;34.81;2436.27;69.61;7181;205.17;15273;436.37;2042;58.34;1375.14;16864116;481831.88;7043.14;201.23;4879.63;139.42;1033.9;29.54;8100.19;231.43;4587.86;131.08;268.63;7.68;360.53;10.3;0.16;2332;66.63;4778.6;136.53;3932;112.34;3433.9;98.11;9522.77;272.08;9151.56;261.47;3805.06;108.72;7025.97;200.74;3807.6;108.79;2123.04;60.66;14;0.4;16;0.46
LITTY KITTIES;Abbyyyyyyy;25;12;48.00;1554;62.16;1;0.04;2;0.08;14;0.56;2;0.08;187;7.48;61;2.44;17;0.68;50;118.74;62.92;21394;855.76;8816;352.64;12578;503.12;146;5.84;1167;46.68;2379;95.16;606;24.24;1773;70.92;10;0.4;165;6.6;295.74;11.83;1787.8;71.51;2777;111.08;6847;273.88;531;21.24;1066.66;9301661;372066.44;7326.42;293.06;1860.17;74.41;196.4;7.86;7677.78;307.11;1657.39;66.3;47.87;1.91;236.42;9.46;0.29;1007;40.28;5018.4;200.74;1791;71.64;1804.73;72.19;7578.27;303.13;7911.23;316.45;1471.76;58.87;6751.95;270.08;1915.76;76.63;715.29;28.61;4;0.16;10;0.4
BOOM SQUAD;CapnCatsneeze;36;16;44.44;4776;132.67;8;0.22;8;0.22;14;0.39;31;0.86;240;6.67;89;2.47;24;0.67;25.81;202.3;45.28;45404;1261.22;25526;709.06;19878;552.17;336;9.33;1699;47.19;6466;179.61;3088;85.78;3378;93.83;38;1.06;291;8.08;1322.92;36.75;1619.14;44.98;9433;262.03;8229;228.58;720;20;1267.05;16039230;445534.16;8932.84;248.13;3786.7;105.19;728.69;20.24;9847.25;273.53;3447.8;95.77;153.12;4.25;179.4;4.98;0.22;808;22.44;5386.4;149.62;3652;101.44;3090.12;85.84;10358.12;287.73;10495.79;291.55;2952.44;82.01;8302.36;230.62;3590.73;99.74;1555.08;43.2;12;0.33;16;0.44
BANGBROS;David // RIP Izzy;37;27;72.97;17063;461.16;50;1.35;20;0.54;54;1.46;128;3.46;203;5.49;64;1.73;21;0.57;39.06;334.99;51.94;75968;2053.19;55520;1500.54;20448;552.65;757;20.46;1794;48.49;12661;342.19;7374;199.3;5287;142.89;95;2.57;463;12.51;1036.92;28.02;1878.21;50.76;7835;211.76;16399;443.22;1350;36.49;1434.53;18615832;503130.59;7010.31;189.47;5266.47;142.34;1462.38;39.52;8889.51;240.26;4497.29;121.55;352.33;9.52;263.04;7.11;0.13;1965;53.11;5011.5;135.45;4292.8;116.02;2763.47;74.69;10975.65;296.64;9850.01;266.22;3889.06;105.11;7758.52;209.69;3788.68;102.4;2191.88;59.24;38;1.03;18;0.49
BRONZEBACK;Exyxz;17;9;52.94;9018;530.47;26;1.53;9;0.53;25;1.47;84;4.94;98;5.76;36;2.12;15;0.88;30.95;507.63;48.41;50495;2970.29;42192;2481.88;8303;488.41;497;29.24;736;43.29;7966;468.59;5343;314.29;2623;154.29;62;3.65;236;13.88;909.12;53.48;608.57;35.8;9120;536.47;7105;417.94;716;42.12;1601.31;9192343;540726.06;2406.58;141.56;2609.4;153.49;1085.85;63.87;3432.73;201.93;2404.66;141.45;264.44;15.56;157.32;9.25;0.11;1456;85.65;1900.2;111.78;2167.3;127.49;1270.14;74.71;4831.71;284.22;4068.61;239.33;2033.22;119.6;3122.71;183.69;1784.52;104.97;1194.59;70.27;14;0.82;7;0.41
BANGBROS;FreakyFingerFred;37;27;72.97;9918;268.05;29;0.78;13;0.35;26;0.7;75;2.03;203;5.49;64;1.73;23;0.62;38.67;221.48;49.13;49633;1341.43;28114;759.84;21519;581.59;389;10.51;1852;50.05;11779;318.35;5965;161.22;5814;157.14;84;2.27;478;12.92;1220.14;32.98;2052.52;55.47;12706;343.41;11239;303.76;2435;65.81;1332.81;17175428;464200.75;8259.51;223.23;4387.08;118.57;1063.93;28.75;9465.96;255.84;4067.18;109.92;177.42;4.8;251.47;6.8;0.21;1232;33.3;3899.2;105.38;4722.1;127.62;3604.08;97.41;10106.48;273.15;8959.89;242.16;4750.64;128.4;6735.8;182.05;4118.71;111.32;2856.03;77.19;20;0.54;29;0.78
CROSSBAR KINGS;Geko;33;20;60.61;15922;482.48;43;1.3;14;0.42;65;1.97;117;3.55;192;5.82;64;1.94;15;0.45;36.75;403.27;51.73;80052;2425.82;59359;1798.76;20693;627.06;738;22.36;1853;56.15;21572;653.7;14395;436.21;7177;217.48;178;5.39;668;20.24;1326.86;40.21;1213.28;36.77;13292;402.79;14785;448.03;3513;106.45;1514.6;17351916;525815.62;5580.84;169.12;4869.25;147.55;1680.25;50.92;7729.7;234.23;4076.97;123.54;323.72;9.81;287.21;8.7;0.11;2545;77.12;3597.3;109.01;4613.2;139.79;3329.57;100.9;8800.8;266.69;7504.46;227.41;4625.85;140.18;5749.76;174.24;3364.88;101.97;3015.77;91.39;87;2.64;25;0.76
SMUT DADDIES;Huge Man;35;12;34.29;16743;478.37;39;1.11;13;0.37;62;1.77;131;3.74;235;6.71;79;2.26;32;0.91;29.77;357.46;55.31;77096;2202.74;53592;1531.2;23504;671.54;670;19.14;2077;59.34;16368;467.66;10088;288.23;6280;179.43;123;3.51;556;15.89;1067.62;30.5;1574.86;45;7091;202.6;14052;401.49;2341;66.89;1513.39;18527944;529369.81;6080.19;173.72;5352.94;152.94;1485.08;42.43;8094.93;231.28;4413.33;126.1;409.89;11.71;214.39;6.13;0.1;2099;59.97;4423.5;126.39;4192;119.77;3019.01;86.26;9899.16;282.83;8920.46;254.87;3997.72;114.22;6882.64;196.65;3636.68;103.91;2398.82;68.54;19;0.54;23;0.66
MOTION W LOTION;Icy_killa420;31;12;38.71;14160;456.77;32;1.03;11;0.35;58;1.87;103;3.32;209;6.74;73;2.35;21;0.68;31.07;381.55;50.87;71609;2309.97;56374;1818.52;15235;491.45;700;22.58;1299;41.9;7956;256.65;4563;147.19;3393;109.45;58;1.87;290;9.35;1339.1;43.2;1303.53;42.05;12643;407.84;13464;434.32;1158;37.35;1454.22;15730565;507437.59;5568.54;179.63;4559.23;147.07;1291.94;41.68;7743.1;249.78;3553.35;114.62;123.27;3.98;189.95;6.13;0.15;1297;41.84;4501.5;145.21;3353.5;108.18;2485.67;80.18;8934.04;288.19;8427.49;271.85;2992.12;96.52;6793.44;219.14;2925.79;94.38;1700.46;54.85;7;0.23;21;0.68
