team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
AERIAL AIRHEADS,RisingStocks,46,20,43.48,22393,486.8,48,1.04,10,0.22,93,2.02,136,2.96,304,6.61,98,2.13,42,0.91,35.29,371.62,48.45,100222,2178.74,75588,1643.22,24634,535.52,917,19.93,2121,46.11,19008,413.22,12548,272.78,6460,140.43,158,3.43,576,12.52,1498.93,32.59,1380.06,30,7928,172.35,15530,337.61,3085,67.07,1387.74,21670770,471103.69,8799.89,191.3,6215.34,135.12,1452.99,31.59,10032.58,218.1,5819.99,126.52,615.63,13.38,312.12,6.79,0.15,2129,46.28,5140.6,111.75,6000.2,130.44,3922.28,85.27,12545.97,272.74,11545.16,250.98,4923.06,107.02,9178.43,199.53,4458.18,96.92,2831.6,61.56,23,0.5,24,0.52
AERIAL AIRHEADS,Soch10,46,20,43.48,9860,214.35,16,0.35,17,0.37,35,0.76,53,1.15,304,6.61,98,2.13,25,0.54,30.19,201.18,60.37,58936,1281.22,38089,828.02,20847,453.2,502,10.91,1823,39.63,10213,222.02,5516,119.91,4697,102.11,77,1.67,399,8.67,658.33,14.31,3023.11,65.72,4401,95.67,12981,282.2,2173,47.24,1219.8,18961336,412202.97,11058.98,240.41,4678.59,101.71,717.74,15.6,11082.16,240.92,5128.2,111.48,244.86,5.32,339.54,7.38,0.28,1194,25.96,5540.1,120.44,5548.2,120.61,4521.72,98.3,11933.52,259.42,11963.47,260.08,4491.7,97.65,9489.74,206.3,4466.24,97.09,2499.34,54.33,12,0.26,16,0.35
AERIAL AIRHEADS,kabrutis,46,20,43.48,5052,109.83,10,0.22,7,0.15,21,0.46,18,0.39,304,6.61,98,2.13,31,0.67,55.56,138.2,38.99,35320,767.83,13763,299.2,21557,468.63,173,3.76,1815,39.46,5166,112.3,1178,25.61,3988,86.7,15,0.33,328,7.13,2536.42,55.14,1247.85,27.13,4918,106.91,3946,85.78,356,7.74,1146.04,17653086,383762.75,12524.8,272.28,3515.02,76.41,413.76,8.99,13008.7,282.8,3360.01,73.04,84.93,1.85,225.98,4.91,0.45,519,11.28,5775.1,125.55,4605,100.11,4010.56,87.19,12443.09,270.5,12898.51,280.4,3555.18,77.29,10232.91,222.45,4397.71,95.6,1823.07,39.63,10,0.22,22,0.48
BANGBROS,David // RIP Izzy,37,27,72.97,17063,461.16,50,1.35,20,0.54,54,1.46,128,3.46,203,5.49,64,1.73,21,0.57,39.06,334.99,51.94,75968,2053.19,55520,1500.54,20448,552.65,757,20.46,1794,48.49,12661,342.19,7374,199.3,5287,142.89,95,2.57,463,12.51,1036.92,28.02,1878.21,50.76,7835,211.76,16399,443.22,1350,36.49,1434.53,18615832,503130.59,7010.31,189.47,5266.47,142.34,1462.38,39.52,8889.51,240.26,4497.29,121.55,352.33,9.52,263.04,7.11,0.13,1965,53.11,5011.5,135.45,4292.8,116.02,2763.47,74.69,10975.65,296.64,9850.01,266.22,3889.06,105.11,7758.52,209.69,3788.68,102.4,2191.88,59.24,38,1.03,18,0.49
BANGBROS,FreakyFingerFred,37,27,72.97,9918,268.05,29,0.78,13,0.35,26,0.7,75,2.03,203,5.49,64,1.73,23,0.62,38.67,221.48,49.13,49633,1341.43,28114,759.84,21519,581.59,389,10.51,1852,50.05,11779,318.35,5965,161.22,5814,157.14,84,2.27,478,12.92,1220.14,32.98,2052.52,55.47,12706,343.41,11239,303.76,2435,65.81,1332.81,17175428,464200.75,8259.51,223.23,4387.08,118.57,1063.93,28.75,9465.96,255.84,4067.18,109.92,177.42,4.8,251.47,6.8,0.21,1232,33.3,3899.2,105.38,4722.1,127.62,3604.08,97.41,10106.48,273.15,8959.89,242.16,4750.64,128.4,6735.8,182.05,4118.71,111.32,2856.03,77.19,20,0.54,29,0.78
BANGBROS,Ndowdle26,37,27,72.97,7197,194.51,15,0.41,16,0.43,21,0.57,46,1.24,203,5.49,64,1.73,20,0.54,32.61,286.28,47.94,65820,1778.92,45205,1221.76,20615,557.16,557,15.05,1780,48.11,10530,284.59,5793,156.57,4737,128.03,72,1.95,413,11.16,1250.62,33.8,1740.66,47.04,8850,239.19,10444,282.27,1411,38.14,1312.75,17049830,460806.22,8156.51,220.45,4770.03,128.92,808.64,21.86,9458.6,255.64,4062.49,109.8,214.12,5.79,48.71,1.32,0.39,94,2.54,4695.7,126.91,4375.8,118.26,3428.25,92.66,10306.92,278.57,9817.18,265.33,3918.01,105.89,7667.89,207.24,3777.73,102.1,2289.58,61.88,15,0.41,14,0.38
BIGBOOSTERBRAND,Ladevo Boost,32,20,62.5,11709,365.91,29,0.91,14,0.44,40,1.25,75,2.34,187,5.84,51,1.59,17,0.53,38.67,288.34,57.46,56297,1759.28,42986,1343.31,13311,415.97,556,17.38,1200,37.5,11579,361.84,8114,253.56,3465,108.28,103,3.22,299,9.34,844.03,26.38,1493.33,46.67,4790,149.69,13210,412.81,2261,70.66,1301.54,14184951,443279.72,6906.21,215.82,4018.64,125.58,583.59,18.24,7666.76,239.59,3653.58,114.17,188.15,5.88,172.76,5.4,0.12,1497,46.78,4261.9,133.18,3445.6,107.68,2427.77,75.87,9080.66,283.77,7884.56,246.39,3623.89,113.25,6020.09,188.13,3407.89,106.5,2080.44,65.01,6,0.19,11,0.34
BIGBOOSTERBRAND,Robzo Boost,32,20,62.5,11637,363.66,34,1.06,7,0.22,39,1.22,88,2.75,187,5.84,51,1.59,20,0.62,38.64,321.7,46.01,59551,1860.97,38453,1201.66,21098,659.31,480,15,1798,56.19,15659,489.34,9029,282.16,6630,207.19,105,3.28,555,17.34,1600.69,50.02,1390.41,43.45,6246,195.19,9463,295.72,1313,41.03,1367.42,14856708,464272.12,6395.81,199.87,4233.62,132.3,848.28,26.51,7415.06,231.72,3755.53,117.36,307.12,9.6,218.16,6.82,0.12,1851,57.84,3632,113.5,4203.7,131.37,3109.91,97.18,8367.83,261.49,7270.97,227.22,4206.68,131.46,5420.02,169.38,3404.27,106.38,2653.52,82.92,28,0.88,23,0.72
BIGBOOSTERBRAND,SebasXx9,32,20,62.5,5827,182.09,12,0.38,13,0.41,19,0.59,37,1.16,187,5.84,51,1.59,14,0.44,32.43,225.06,41.89,41407,1293.97,22159,692.47,19248,601.5,282,8.81,1626,50.81,8903,278.22,4168,130.25,4735,147.97,52,1.62,406,12.69,1557.23,48.66,641.89,20.06,5060,158.12,5967,186.47,1044,32.62,1295.24,14108227,440882.09,7247.17,226.47,3750.57,117.21,492.1,15.38,8160.69,255.02,3208.7,100.27,120.43,3.76,115.5,3.61,0.16,759,23.72,3429.9,107.18,3556.5,111.14,3082.75,96.34,8407.12,262.72,7722.18,241.32,3767.7,117.74,5769.36,180.29,3581.42,111.92,2139.06,66.85,10,0.31,21,0.66
BOOM SQUAD,CapnCatsneeze,36,16,44.44,4776,132.67,8,0.22,8,0.22,14,0.39,31,0.86,240,6.67,89,2.47,24,0.67,25.81,202.3,45.28,45404,1261.22,25526,709.06,19878,552.17,336,9.33,1699,47.19,6466,179.61,3088,85.78,3378,93.83,38,1.06,291,8.08,1322.92,36.75,1619.14,44.98,9433,262.03,8229,228.58,720,20,1267.05,16039230,445534.16,8932.84,248.13,3786.7,105.19,728.69,20.24,9847.25,273.53,3447.8,95.77,153.12,4.25,179.4,4.98,0.22,808,22.44,5386.4,149.62,3652,101.44,3090.12,85.84,10358.12,287.73,10495.79,291.55,2952.44,82.01,8302.36,230.62,3590.73,99.74,1555.08,43.2,12,0.33,16,0.44
BOOM SQUAD,RLQS SEASON 2 CHAMP,36,16,44.44,13366,371.28,31,0.86,16,0.44,40,1.11,91,2.53,240,6.67,89,2.47,39,1.08,34.07,361.22,50.46,79707,2214.08,60382,1677.28,19325,536.81,732,20.33,1629,45.25,12354,343.17,7361,204.47,4993,138.69,100,2.78,399,11.08,1746.17,48.5,1505.05,41.81,11084,307.89,12695,352.64,2359,65.53,1450.03,18375528,510431.34,6466.4,179.62,5880.97,163.36,1114.08,30.95,8236.75,228.8,4934.71,137.08,290.02,8.06,278.53,7.74,0.16,1740,48.33,3983.4,110.65,4832.6,134.24,3382.18,93.95,10079.27,279.98,9383.35,260.65,4078.13,113.28,7330.58,203.63,3697.72,102.71,2433.13,67.59,15,0.42,17,0.47
