,MP,W,L,W%,GP,GW,GL,GD
GOALden Showers,10,8,2,80.0%,42,27,15,12
Bang Bros,10,8,2,80.0%,37,27,10,17
Big Booster Brand,9,7,2,77.8%,36,23,13,10
Bronzeback Mountain,8,6,2,75.0%,33,21,12,9
Crossbar Kings,11,8,3,72.7%,39,26,13,13
Litty Kitties,11,7,4,63.6%,45,24,21,3
Our Toxic Bromance,11,7,4,63.6%,45,25,20,5
Aerial Airheads,12,5,7,41.7%,50,23,27,-4
Boostiality,11,4,7,36.4%,46,20,26,-6
Boom Squad,9,3,6,33.3%,36,16,20,-4
Smut Daddies,10,3,7,30.0%,39,15,24,-9
Goals Next Door,7,2,5,28.6%,30,12,18,-6
Motion With Some Lotion,11,3,8,27.3%,47,19,28,-9
Rihanna's Toilet Seat,8,2,6,25.0%,33,12,21,-9
W.A.P (What A Play!),10,1,9,10.0%,34,6,28,-22
