team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
AERIAL AIRHEADS,RisingStocks,56,21,37.5,28309,505.52,56,1,12,0.21,129,2.3,168,3,377,6.73,121,2.16,56,1,33.33,375.48,48.67,124659,2226.05,93961,1677.88,30698,548.18,1146,20.46,2631,46.98,24118,430.68,15886,283.68,8232,147,198,3.54,739,13.2,1825.16,32.59,1728.62,30.87,10829,193.38,19822,353.96,3714,66.32,1394.84,26753560,477742.16,10723,191.48,7658.41,136.76,1825.4,32.6,12410.84,221.62,7072.45,126.29,723.49,12.92,374.09,6.68,0.14,2605,46.52,6271.4,111.99,7422.1,132.54,4788.5,85.51,15418.34,275.33,14115.02,252.05,6091.8,108.78,11255.8,201,5406.32,96.54,3544.68,63.3,27,0.48,35,0.62
AERIAL AIRHEADS,Soch10,56,21,37.5,11717,209.23,21,0.38,18,0.32,38,0.68,61,1.09,377,6.73,121,2.16,30,0.54,34.43,196.59,61.03,70727,1262.98,45840,818.57,24887,444.41,618,11.04,2194,39.18,12127,216.55,6596,117.79,5531,98.77,94,1.68,473,8.45,769.79,13.75,3776.04,67.43,4775,85.27,16985,303.3,2675,47.77,1220.68,23312912,416302,13554.4,242.04,5790.68,103.4,850.64,15.19,13555.89,242.07,6346.28,113.33,293.47,5.24,413.8,7.39,0.29,1431,25.55,6832.9,122.02,6856.5,122.44,5552.56,99.15,14643.12,261.48,14657.66,261.74,5537.93,98.89,11644.81,207.94,5478.67,97.83,3072.27,54.86,12,0.21,25,0.45
AERIAL AIRHEADS,kabrutis,56,21,37.5,6029,107.66,10,0.18,8,0.14,28,0.5,23,0.41,377,6.73,121,2.16,35,0.62,43.48,131.72,39.9,42197,753.52,16022,286.11,26175,467.41,201,3.59,2206,39.39,6031,107.7,1474,26.32,4557,81.38,18,0.32,381,6.8,3037.4,54.24,1395.72,24.92,6033,107.73,4539,81.05,387,6.91,1141.51,21632048,386286.56,15448.53,275.87,4263.81,76.14,493.76,8.82,15892.49,283.79,4213.3,75.24,100.38,1.79,282.13,5.04,0.43,693,12.38,7131.4,127.35,5561,99.3,4878.01,87.11,15328.16,273.72,15806.17,282.25,4400.03,78.57,12587.72,224.78,5351.52,95.56,2266.96,40.48,13,0.23,29,0.52
BANGBROS,David // RIP Izzy,44,33,75,21157,480.84,62,1.41,25,0.57,65,1.48,155,3.52,245,5.57,73,1.66,24,0.55,40,337.79,52.19,91619,2082.25,67245,1528.3,24374,553.95,917,20.84,2147,48.8,15799,359.07,9525,216.48,6274,142.59,122,2.77,554,12.59,1263.17,28.71,2257.6,51.31,9225,209.66,19839,450.89,1709,38.84,1439.86,22323284,507347.38,8333.52,189.4,6340.11,144.09,1745.77,39.68,10642.66,241.88,5366.67,121.97,410.04,9.32,306.47,6.97,0.13,2286,51.95,5924.1,134.64,5155.2,117.16,3311.87,75.27,13107.49,297.9,11748.21,267,4671.1,106.16,9201.66,209.13,4566.79,103.79,2650.88,60.25,47,1.07,24,0.55
BANGBROS,FreakyFingerFred,44,33,75,11371,258.43,32,0.73,19,0.43,28,0.64,85,1.93,245,5.57,73,1.66,26,0.59,37.65,225.98,49.47,60654,1378.5,34517,784.48,26137,594.02,472,10.73,2235,50.8,14570,331.14,7500,170.45,7070,160.68,104,2.36,578,13.14,1478.65,33.61,2429.06,55.21,14898,338.59,13244,301,2909,66.11,1335.96,20615996,468545.38,9812.18,223,5357.66,121.76,1237.39,28.12,11284.82,256.47,4914.13,111.68,208.3,4.73,320.53,7.28,0.21,1571,35.7,4639.8,105.45,5626.3,127.87,4307.5,97.9,12099.73,274.99,10777.04,244.93,5630.19,127.96,8114.11,184.41,4897.8,111.31,3395.33,77.17,25,0.57,31,0.7
BANGBROS,Ndowdle26,44,33,75,9216,209.45,22,0.5,19,0.43,26,0.59,61,1.39,245,5.57,73,1.66,23,0.52,36.07,293.06,47.65,80385,1826.93,55728,1266.55,24657,560.39,685,15.57,2137,48.57,12512,284.36,6809,154.75,5703,129.61,83,1.89,500,11.36,1579.97,35.91,2010.58,45.69,11043,250.98,12627,286.98,1505,34.2,1317.84,20457664,464946.91,9656.95,219.48,5758.44,130.87,1006.84,22.88,11214.78,254.88,4944.25,112.37,263.24,5.98,77.77,1.77,0.41,149,3.39,5683.2,129.16,5222.7,118.7,4076.22,92.64,12346,280.59,11711.25,266.16,4710.97,107.07,9188.1,208.82,4453.26,101.21,2780.88,63.2,21,0.48,18,0.41
BIGBOOSTERBRAND,Ladevo Boost,48,24,50,16852,351.08,41,0.85,21,0.44,51,1.06,113,2.35,285,5.94,92,1.92,33,0.69,36.28,290.97,56.15,86713,1806.52,65734,1369.46,20979,437.06,844,17.58,1889,39.35,17123,356.73,11851,246.9,5272,109.83,151,3.15,464,9.67,1266.99,26.4,2223.17,46.32,7257,151.19,19392,404,3359,69.98,1295.46,21573770,449453.53,10682.19,222.55,6027.93,125.58,879.69,18.33,11736.52,244.51,5578.99,116.23,274.3,5.71,266.81,5.56,0.12,2270,47.29,6421.9,133.79,5257.8,109.54,3860.2,80.42,13729.55,286.03,12083.45,251.74,5506.31,114.71,9262.47,192.97,5197.66,108.28,3129.62,65.2,12,0.25,26,0.54
BIGBOOSTERBRAND,Robzo Boost,48,24,50,16979,353.73,45,0.94,13,0.27,55,1.15,142,2.96,285,5.94,92,1.92,38,0.79,31.69,331.2,46.83,93785,1953.85,61797,1287.44,31988,666.42,766,15.96,2743,57.15,23728,494.33,13916,289.92,9812,204.42,164,3.42,834,17.38,2340.92,48.77,2165.71,45.12,10322,215.04,14879,309.98,2351,48.98,1381.58,22931558,477740.78,9615.03,200.31,6530.19,136.05,1416.25,29.51,11194.23,233.21,5860.68,122.1,506.54,10.55,345.23,7.19,0.12,2860,59.58,5276,109.92,6478.5,134.97,4933.99,102.79,12627.49,263.07,11173.66,232.78,6387.75,133.08,8341.69,173.79,5204.45,108.43,4015.44,83.65,47,0.98,34,0.71
BIGBOOSTERBRAND,SebasXx9,48,24,50,8576,178.67,17,0.35,16,0.33,30,0.62,54,1.12,285,5.94,92,1.92,21,0.44,31.48,228.33,41.19,63696,1327,34364,715.92,29332,611.08,431,8.98,2474,51.54,12748,265.58,5896,122.83,6852,142.75,73,1.52,589,12.27,2474.89,51.56,983.09,20.48,8931,186.06,8627,179.73,1321,27.52,1304.22,21712908,452352.25,10921.27,227.53,5892.87,122.77,761.55,15.87,12544.56,261.35,4856.06,101.17,175,3.65,197.1,4.11,0.15,1306,27.21,5626.3,117.21,5392.4,112.34,4710.16,98.13,12865.5,268.03,12077.82,251.62,5497.88,114.54,9102.94,189.64,5355.06,111.56,3117.68,64.95,16,0.33,34,0.71
BOOM SQUAD,CapnCatsneeze,39,19,48.72,5122,131.33,9,0.23,8,0.21,14,0.36,33,0.85,252,6.46,90,2.31,24,0.62,27.27,201.79,45.54,48612,1246.46,27311,700.28,21301,546.18,362,9.28,1821,46.69,6917,177.36,3256,83.49,3661,93.87,40,1.03,315,8.08,1413.69,36.25,1758.03,45.08,10172,260.82,9069,232.54,756,19.38,1267.78,17253730,442403.34,9571.94,245.43,4088.11,104.82,784.2,20.11,10591.87,271.59,3687.51,94.55,164.78,4.23,199.94,5.13,0.22,896,22.97,5792.5,148.53,3946,101.18,3306.11,84.77,11138.13,285.59,11248.55,288.42,3195.68,81.94,8901.45,228.24,3868.66,99.2,1674.06,42.92,12,0.31,17,0.44
