team name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time behind ball,time behind ball per game,time in front of ball,time in front of ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
MOTION W LOTION,53,25,47.17,46722,881.55,110,2.08,63,1.19,150,2.83,338,6.38,329,6.21,119,2.25,32.54,903.13,157.72,295533,5576.09,210107,3964.28,85426,1611.81,2642,49.85,7284,137.43,45885,865.75,24785,467.64,21100,398.11,311,5.87,1824,34.42,5993.79,113.09,5173.38,97.61,43493,820.62,54387,1026.17,6165,116.32,79313480,1496480.75,31835.53,600.67,23143.72,436.67,4691.08,88.51,38870.52,733.41,19899.56,375.46,900.31,16.99,1190.21,22.46,0,8197,154.66,44334.82,836.51,15335.55,289.35,41334.08,779.89,18336.05,345.96,31949.68,602.82,17098.96,322.62,10621.62,200.41,66,1.25,82,1.55
BOOSTIALITY,51,26,50.98,44297,868.57,91,1.78,41,0.8,164,3.22,315,6.18,317,6.22,92,1.8,28.89,755.63,148.58,239444,4694.98,160513,3147.31,78931,1547.67,2022,39.65,6831,133.94,47377,928.96,28071,550.41,19306,378.55,356,6.98,1676,32.86,5482.97,107.51,7949.02,155.86,33739,661.55,42269,828.8,7158,140.35,65005816,1274623.88,37637.08,737.98,15117.31,296.42,3478.23,68.2,39810.8,780.6,15294.14,299.89,1127.71,22.11,1442.72,28.29,0,8649,169.59,43642.96,855.74,12589.73,246.86,40861.53,801.21,15371.08,301.39,32947.36,646.03,14462.49,283.58,8822.95,173,57,1.12,91,1.78
RIHANNAS TOILET,36,12,33.33,27678,768.83,60,1.67,28,0.78,106,2.94,215,5.97,230,6.39,88,2.44,27.91,885.14,145.64,191185,5310.69,137497,3819.36,53688,1491.33,1667,46.31,4608,128,31818,883.83,18886,524.61,12932,359.22,232,6.44,1100,30.56,4690.33,130.29,5210.39,144.73,29364,815.67,29265,812.92,4218,117.17,47929828,1331384.12,24024.35,667.34,12722,353.39,2609.71,72.49,27122.57,753.4,11728.76,325.8,504.72,14.02,855.88,23.77,0,5982,166.17,30334.48,842.62,9021.62,250.6,28846.81,801.3,10509.29,291.92,23207.26,644.65,10247.72,284.66,5901.12,163.92,49,1.36,69,1.92
BIGBOOSTERBRAND,48,24,50,42407,883.48,103,2.15,50,1.04,136,2.83,309,6.44,285,5.94,92,1.92,33.33,850.69,144.17,244194,5087.38,161895,3372.81,82299,1714.56,2041,42.52,7106,148.04,53599,1116.65,31663,659.65,21936,457,388,8.08,1887,39.31,6082.8,126.73,5371.97,111.92,26510,552.29,42898,893.71,7031,146.48,66218240,1379546.62,31218.5,650.39,18450.99,384.4,3057.49,63.7,35475.3,739.07,16295.73,339.49,955.84,19.91,809.14,16.86,0,6436,134.08,39222.54,817.14,13504.35,281.34,35334.93,736.14,17391.94,362.33,26707.1,556.4,15757.17,328.27,10262.74,213.81,75,1.56,94,1.96
AERIAL AIRHEADS,56,21,37.5,46055,822.41,87,1.55,38,0.68,195,3.48,252,4.5,377,6.73,121,2.16,34.52,704.95,149.94,237583,4242.55,155823,2782.55,81760,1460,1965,35.09,7031,125.55,42276,754.93,23956,427.79,18320,327.14,310,5.54,1593,28.45,5632.35,100.58,6900.38,123.22,21637,386.38,41346,738.32,6776,121,71698520,1280330.75,39725.93,709.39,17712.9,316.3,3169.8,56.6,41859.22,747.49,17632.03,314.86,1117.34,19.95,1070.02,19.11,0,4729,84.45,45389.61,810.53,15219.07,271.77,44578.87,796.05,16029.76,286.25,35488.33,633.72,16236.51,289.94,8883.91,158.64,52,0.93,89,1.59
WHAT A PLAY,45,8,17.78,32149,714.42,63,1.4,24,0.53,122,2.71,192,4.27,333,7.4,143,3.18,32.81,849.02,146.17,226704,5037.87,162287,3606.38,64417,1431.49,2006,44.58,5553,123.4,40216,893.69,24633,547.4,15583,346.29,297,6.6,1322,29.38,6643.06,147.62,6411.01,142.47,41446,921.02,38922,864.93,4990,110.89,61974112,1377202.5,28518.22,633.74,16798.46,373.3,3721.88,82.71,33638.53,747.52,14572.91,323.84,826.98,18.38,797.63,17.73,0,4059,90.2,35279.85,784,13758.56,305.75,34802.56,773.39,14235.89,316.35,27256.32,605.7,13472.92,299.4,8309.23,184.65,86,1.91,81,1.8
LITTY KITTIES,54,30,55.56,48432,896.89,117,2.17,52,0.96,185,3.43,337,6.24,373,6.91,118,2.19,34.72,766.2,169.54,257140,4761.85,176664,3271.56,80476,1490.3,2262,41.89,7185,133.06,46844,867.48,28963,536.35,17881,331.13,374,6.93,1583,29.31,3958.81,73.31,9593.01,177.65,33253,615.8,48723,902.28,7758,143.67,70725880,1309738.5,37747.73,699.03,16972.06,314.3,4404.93,81.57,40992.77,759.13,16934.11,313.59,1197.87,22.18,1288.28,23.86,0,9363,173.39,46288.92,857.2,12835.84,237.7,43720.03,809.63,15404.71,285.27,35200.16,651.85,15339.42,284.06,8585.12,158.98,90,1.67,87,1.61
CROSSBAR KINGS,48,32,66.67,45678,951.62,121,2.52,66,1.38,140,2.92,341,7.1,262,5.46,83,1.73,35.48,919,154.53,267655,5576.15,180038,3750.79,87617,1825.35,2310,48.12,7712,160.67,62221,1296.27,36310,756.46,25911,539.81,463,9.65,2309,48.1,4446.34,92.63,5915.77,123.25,42042,875.88,52329,1090.19,10158,211.62,71358152,1486628.12,27858.14,580.38,19828.35,413.09,5008.66,104.35,34983.46,728.82,16764.56,349.26,947.27,19.73,955.37,19.9,0,7833,163.19,39461.75,822.12,13233.43,275.7,33853.23,705.28,18841.91,392.54,25297.8,527.04,16027.06,333.9,11370.48,236.89,207,4.31,78,1.62
BOOM SQUAD,39,19,48.72,32881,843.1,77,1.97,36,0.92,110,2.82,225,5.77,252,6.46,90,2.31,34.22,840.03,148.54,198369,5086.38,137421,3523.62,60948,1562.77,1708,43.79,5251,134.64,32454,832.15,18717,479.92,13737,352.23,246,6.31,1159,29.72,4325.01,110.9,5422.55,139.04,29689,761.26,33613,861.87,5615,143.97,55458140,1422003.62,24939.6,639.48,15564.84,399.1,2838.57,72.78,29184.31,748.32,13456.86,345.05,701.81,18,682.35,17.5,0,3758,96.36,32819.16,841.52,10523.86,269.84,31481.02,807.21,11861.89,304.15,24723.23,633.93,11747.59,301.22,6872.1,176.21,39,1,62,1.59
SMUT DADDIES,47,17,36.17,38280,814.47,79,1.68,40,0.85,150,3.19,258,5.49,318,6.77,107,2.28,30.62,800.74,165.58,235357,5007.6,165530,3521.91,69827,1485.68,2192,46.64,6113,130.06,47668,1014.21,29746,632.89,17922,381.32,386,8.21,1602,34.09,3530.59,75.12,7601.71,161.74,26674,567.53,54715,1164.15,9050,192.55,64262908,1367295.88,29768.07,633.36,17519.86,372.76,3928.1,83.58,34490.62,733.84,15742.27,334.94,983.04,20.92,1116.22,23.75,0,6959,148.06,37386.79,795.46,13829.07,294.24,35567.7,756.76,15648.16,332.94,27610.56,587.46,14550.81,309.59,9054.46,192.65,62,1.32,75,1.6
