team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
RIHANNAS TOILET, ,51,22,43.14,20892,409.65,58,1.14,17,0.33,65,1.27,181,3.55,320,6.27,117,2.29,32,0.63,32.04,366.83,47.54,107581,2109.43,80136,1571.29,27445,538.14,986,19.33,2306,45.22,23032,451.61,15184,297.73,7848,153.88,183,3.59,654,12.82,2277.49,44.66,1942.33,38.08,12881,252.57,18361,360.02,3061,60.02,1416.98,24452080,479452.56,9776.75,191.7,6907.05,135.43,1617.85,31.72,11672.17,228.87,6232.82,122.21,396.69,7.78,402.06,7.88,0.09,4443,87.12,3856.7,75.62,7964,156.16,5032.03,98.67,13269.63,260.19,11911.51,233.56,6390.2,125.3,9013.31,176.73,5436.32,106.59,3852.1,75.53,30,0.59,37,0.73
SMUT DADDIES,A_S_Scrackbandit,54,18,33.33,11375,210.65,20,0.37,15,0.28,43,0.8,68,1.26,376,6.96,130,2.41,42,0.78,29.41,288.68,54.41,96662,1790.04,74188,1373.85,22474,416.19,971,17.98,1950,36.11,14327,265.31,8917,165.13,5410,100.19,118,2.19,472,8.74,1978.21,36.63,3542.14,65.6,11927,220.87,22906,424.19,2768,51.26,1374.77,25485124,471946.75,10612.52,196.53,7382.36,136.71,1604.5,29.71,12297.37,227.73,6922.37,128.19,379.63,7.03,531.02,9.83,0.15,3430,63.52,6933.5,128.4,6169.5,114.25,5370.56,99.45,14228.81,263.5,13971.23,258.73,5628.11,104.22,10715.72,198.44,5799.71,107.4,3083.91,57.11,23,0.43,21,0.39
LITTY KITTIES,Abbyyyyyyy,25,12,48,1554,62.16,1,0.04,2,0.08,14,0.56,2,0.08,187,7.48,61,2.44,17,0.68,50,118.74,62.92,21394,855.76,8816,352.64,12578,503.12,146,5.84,1167,46.68,2379,95.16,606,24.24,1773,70.92,10,0.4,165,6.6,295.74,11.83,1787.8,71.51,2777,111.08,6847,273.88,531,21.24,1066.66,9301661,372066.44,7326.42,293.06,1860.17,74.41,196.4,7.86,7677.78,307.11,1657.39,66.3,47.87,1.91,236.42,9.46,0.29,1007,40.28,5018.4,200.74,1791,71.64,1804.73,72.19,7578.27,303.13,7911.23,316.45,1471.76,58.87,6751.95,270.08,1915.76,76.63,715.29,28.61,4,0.16,10,0.4
BOOM SQUAD,CapnCatsneeze,52,25,48.08,6795,130.67,13,0.25,11,0.21,21,0.4,48,0.92,337,6.48,124,2.38,35,0.67,27.08,203.44,45.6,64818,1246.5,36799,707.67,28019,538.83,493,9.48,2396,46.08,9422,181.19,4580,88.08,4842,93.12,56,1.08,419,8.06,1992.16,38.31,2275.76,43.76,14280,274.62,12730,244.81,1044,20.08,1272.91,22781268,438101.31,12551.07,241.37,5426.63,104.36,1051.43,20.22,14030.41,269.82,4801.7,92.34,196.89,3.79,253.22,4.87,0.22,1147,22.06,7574.4,145.66,5238.8,100.75,4413.44,84.87,14615.62,281.07,14677.4,282.26,4351.66,83.69,11504.26,221.24,5273.13,101.41,2251.6,43.3,15,0.29,20,0.38
BANG BROS,David // RIP Izzy,52,38,73.08,25035,481.44,74,1.42,28,0.54,80,1.54,185,3.56,294,5.65,90,1.73,32,0.62,40,338.24,52.17,107247,2062.44,79421,1527.33,27826,535.12,1074,20.65,2447,47.06,17944,345.08,10892,209.46,7052,135.62,138,2.65,619,11.9,1499.7,28.84,2581.63,49.65,10813,207.94,23221,446.56,1907,36.67,1445.7,26192928,503710.16,9643.26,185.45,7513.96,144.5,2044.82,39.32,12387.13,238.21,6319.5,121.53,495.36,9.53,362.97,6.98,0.14,2671,51.37,6904.6,132.78,6030.8,115.98,3907.88,75.15,15294.12,294.12,13777.75,264.96,5424.2,104.31,10809.34,207.87,5297.32,101.87,3095.29,59.52,49,0.94,26,0.5
MOTION W LOTION,Ese_Hec,5,3,60,944,188.8,3,0.6,1,0.2,1,0.2,10,2,18,3.6,7,1.4,3,0.6,30,354.38,55.03,10066,2013.2,7309,1461.8,2757,551.4,89,17.8,227,45.4,1789,357.8,1056,211.2,733,146.6,11,2.2,64,12.8,260.04,52.01,95.12,19.02,966,193.2,1636,327.2,42,8.4,1402.15,2326667,465333.41,924.64,184.93,723.88,144.78,114.93,22.99,1028.82,205.76,697.33,139.47,37.3,7.46,52.45,10.49,0.13,392,78.4,484.3,96.86,539.9,107.98,448.32,89.66,1315.12,263.02,1083.4,216.68,680.05,136.01,786.82,157.36,597.1,119.42,379.55,75.91,3,0.6,4,0.8
BRONZEBACK,Exyxz,20,12,60,10479,523.95,30,1.5,9,0.45,31,1.55,93,4.65,116,5.8,40,2,16,0.8,32.26,505.5,48.88,58784,2939.2,49068,2453.4,9716,485.8,583,29.15,856,42.8,9214,460.7,6132,306.6,3082,154.1,71,3.55,269,13.45,1054.72,52.74,718.17,35.91,10656,532.8,8850,442.5,830,41.5,1604.73,10770493,538524.62,2793.25,139.66,3047.96,152.4,1285.18,64.26,4018.65,200.93,2797.87,139.89,309.86,15.49,188.34,9.42,0.11,1738,86.9,2216,110.8,2509.8,125.49,1474.11,73.71,5652.3,282.61,4782.13,239.11,2344.25,117.21,3683.64,184.18,2082.5,104.12,1360.22,68.01,15,0.75,7,0.35
BANG BROS,FreakyFingerFred,52,38,73.08,13153,252.94,35,0.67,22,0.42,33,0.63,95,1.83,294,5.65,90,1.73,31,0.6,36.84,225.89,48.97,70817,1361.87,40030,769.81,30787,592.06,546,10.5,2633,50.63,16716,321.46,8679,166.9,8037,154.56,118,2.27,659,12.67,1750.42,33.66,2720.62,52.32,17582,338.12,15145,291.25,3083,59.29,1333.91,24040804,462323.16,11510.83,221.36,6236.12,119.93,1437.51,27.64,13248.12,254.77,5697.97,109.58,238.37,4.58,390.61,7.51,0.21,1934,37.19,5427.1,104.37,6545,125.87,5052.95,97.17,14131.51,271.76,12668.06,243.62,6516.4,125.32,9502.52,182.74,5766.6,110.9,3915.36,75.3,27,0.52,34,0.65
CROSSBAR KINGS,Geko,51,35,68.63,23388,458.59,59,1.16,28,0.55,91,1.78,183,3.59,273,5.35,83,1.63,20,0.39,32.24,414.93,52.66,127405,2498.14,95446,1871.49,31959,626.65,1192,23.37,2869,56.25,34086,668.35,23037,451.71,11049,216.65,287,5.63,1019,19.98,1985.94,38.94,1998.53,39.19,21181,415.31,24350,477.45,5804,113.8,1522.43,26755292,524613.56,8450.96,165.71,7490.04,146.86,2632.65,51.62,12043.81,236.15,6049.55,118.62,480.33,9.42,446.85,8.76,0.11,4062,79.65,5555.9,108.94,7053.9,138.31,5001.18,98.06,13572.49,266.13,11379.55,223.13,7194.07,141.06,8649.38,169.6,5234.41,102.64,4689.94,91.96,135,2.65,32,0.63
SMUT DADDIES,Huge Man,54,18,33.33,24573,455.06,56,1.04,16,0.3,91,1.69,177,3.28,376,6.96,130,2.41,54,1,31.64,352.8,55.61,115807,2144.57,81106,1501.96,34701,642.61,1036,19.19,3100,57.41,25586,473.81,16026,296.78,9560,177.04,195,3.61,842,15.59,1561.17,28.91,2512.63,46.53,11612,215.04,23586,436.78,3668,67.93,1515.46,28016844,518830.44,9206.24,170.49,8019.21,148.5,2309.55,42.77,12292.41,227.64,6586.07,121.96,656.48,12.16,328.37,6.08,0.1,3169,58.69,6425.3,118.99,6622.5,122.64,4741.77,87.81,14793.15,273.95,13479.45,249.62,6055.49,112.14,10470.08,193.89,5439.06,100.72,3625.74,67.14,37,0.69,35,0.65
