team name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time behind ball,time behind ball per game,time in front of ball,time in front of ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
BOOSTIALITY,58,28,48.28,50442,869.69,107,1.84,48,0.83,188,3.24,362,6.24,360,6.21,107,1.84,29.56,759.47,148.15,271460,4680.34,182389,3144.64,89071,1535.71,2302,39.69,7715,133.02,53275,918.53,31641,545.53,21634,373,400,6.9,1886,32.52,6220.13,107.24,8880.54,153.11,38602,665.55,48263,832.12,7979,137.57,73539840,1267928.25,42447.33,731.85,17089.9,294.65,3999.07,68.95,44995.45,775.78,17252.79,297.46,1288.12,22.21,1625.94,28.03,0,9805,169.05,49314.02,850.24,14222.37,245.21,46194.3,796.45,17342,299,37267.1,642.54,16310.35,281.21,9959.07,171.71,71,1.22,102,1.76
RIHANNAS TOILET,51,22,43.14,40809,800.18,99,1.94,47,0.92,146,2.86,320,6.27,320,6.27,117,2.29,30.94,892.12,147.8,269571,5285.71,193697,3797.98,75874,1487.73,2355,46.18,6508,127.61,45347,889.16,27169,532.73,18178,356.43,330,6.47,1539,30.18,6387.32,125.24,7409.2,145.28,40709,798.22,42178,827.02,5762,112.98,67490384,1323340.88,33194.88,650.88,18129.48,355.48,3711.25,72.77,37759.29,740.38,16507.66,323.68,768.57,15.07,1120.6,21.97,0,8061,158.06,42322.64,829.86,12712.97,249.27,40132.38,786.91,14903.29,292.22,32187.85,631.13,14435.95,283.06,8411.83,164.94,67,1.31,90,1.76
BIGBOOSTERBRAND,56,28,50,49795,889.2,118,2.11,61,1.09,164,2.93,357,6.38,342,6.11,111,1.98,33.05,857.48,143.91,287181,5128.23,191478,3419.25,95703,1708.98,2399,42.84,8275,147.77,61400,1096.43,36118,644.96,25282,451.46,443,7.91,2181,38.95,7080.85,126.44,6160.69,110.01,31268,558.36,48778,871.04,7942,141.82,77267688,1379780.12,36415.28,650.27,21542.61,384.69,3585.97,64.04,41345.71,738.32,19078.74,340.69,1119.3,19.99,957.32,17.1,0,7573,135.23,45724.35,816.51,15819.44,282.49,41488.72,740.87,20055.02,358.13,31425.59,561.17,18337.41,327.45,11780.84,210.37,90,1.61,108,1.93
AERIAL AIRHEADS,57,24,42.11,47209,828.23,94,1.65,41,0.72,197,3.46,257,4.51,390,6.84,124,2.18,36.58,703.47,149.66,241585,4238.33,158204,2775.51,83381,1462.82,1989,34.89,7181,125.98,43161,757.21,24400,428.07,18761,329.14,317,5.56,1621,28.44,5705.99,100.11,7075.22,124.13,21117,370.47,41388,726.11,7072,124.07,72810536,1277377.88,40510.84,710.72,18017.04,316.09,3198.41,56.11,42609.63,747.54,17964.76,315.17,1151.9,20.21,1093.58,19.19,0,4796,84.14,46334.56,812.89,15391.74,270.03,45574.69,799.56,16151.59,283.36,36295.03,636.75,16533.43,290.06,8897.9,156.1,54,0.95,84,1.47
WHAT A PLAY,50,10,20,35899,717.98,74,1.48,28,0.56,131,2.62,218,4.36,365,7.3,158,3.16,33.94,853.02,145.46,253286,5065.72,181618,3632.36,71668,1433.36,2238,44.76,6183,123.66,45124,902.48,27450,549,17674,353.48,332,6.64,1505,30.1,7452.4,149.05,7049.73,140.99,46257,925.14,42828,856.56,5678,113.56,68882768,1377655.38,31650.43,633.01,18685.3,373.71,4154.02,83.08,37292.3,745.85,16271,325.42,926.28,18.53,893.08,17.86,0,4562,91.24,39248.83,784.98,15240.73,304.81,38465.29,769.31,16024.33,320.49,30089.45,601.79,15033.63,300.67,9366.56,187.33,95,1.9,84,1.68
LITTY KITTIES,56,30,53.57,50593,903.45,123,2.2,59,1.05,193,3.45,353,6.3,388,6.93,124,2.21,34.84,774.73,168.42,268133,4788.09,183978,3285.32,84155,1502.77,2342,41.82,7506,134.04,48227,861.2,29587,528.34,18640,332.86,382,6.82,1655,29.55,4231.61,75.56,9727.73,173.71,34870,622.68,49934,891.68,8008,143,73549400,1313382.12,38948.93,695.52,17675.41,315.63,4602.57,82.19,42361.13,756.45,17646.49,315.12,1219.34,21.77,1338.17,23.9,0,9798,174.96,47881.23,855.02,13345.72,238.32,45103.63,805.42,16123.31,287.92,36207.59,646.56,16017.03,286.02,9002.29,160.76,87,1.55,88,1.57
CROSSBAR KINGS,51,35,68.63,49229,965.27,132,2.59,74,1.45,148,2.9,368,7.22,273,5.35,83,1.63,35.87,920.14,154.7,283901,5566.69,190869,3742.53,93032,1824.16,2452,48.08,8183,160.45,65716,1288.55,38445,753.82,27271,534.73,492,9.65,2433,47.71,4697.57,92.11,6317.65,123.88,44659,875.67,55889,1095.86,10959,214.88,75523000,1480843.12,29434.29,577.14,21003.14,411.83,5319.44,104.3,36980.82,725.11,17785.11,348.73,991.13,19.43,1010.7,19.82,0,8272,162.2,41870.29,820.99,13886.66,272.29,35949.29,704.89,19807.57,388.38,26894.08,527.33,16909.95,331.57,11953.07,234.37,217,4.25,83,1.63
BOOM SQUAD,52,25,48.08,43310,832.88,106,2.04,44,0.85,146,2.81,310,5.96,337,6.48,124,2.38,34.19,835.08,149.37,260636,5012.23,179977,3461.1,80659,1551.13,2251,43.29,6964,133.92,43348,833.62,25158,483.81,18190,349.81,327,6.29,1557,29.94,5681.55,109.26,7103.61,136.61,38254,735.65,45612,877.15,7331,140.98,72889280,1401716.88,32859.37,631.91,20514.6,394.51,3686.71,70.9,38362.7,737.74,17757.87,341.5,940.03,18.08,886.19,17.04,0,4953,95.25,43217.83,831.11,13842.77,266.21,41129.43,790.95,15931.04,306.37,32048.11,616.31,15816.4,304.16,9195.98,176.85,54,1.04,85,1.63
SMUT DADDIES,54,18,33.33,43267,801.24,85,1.57,41,0.76,173,3.2,281,5.2,376,6.96,130,2.41,30.25,797.26,165.18,268711,4976.13,188785,3496.02,79926,1480.11,2504,46.37,7006,129.74,54896,1016.59,34245,634.17,20651,382.43,443,8.2,1832,33.93,4047.29,74.95,8719.44,161.47,30453,563.94,62748,1162,10290,190.56,73511072,1361316.12,34178.23,632.93,19963.02,369.69,4518.91,83.68,39517.06,731.8,18008.45,333.49,1134.58,21.01,1249.87,23.15,0,7792,144.3,42662.52,790.05,15997.51,296.25,40835.36,756.21,17824.66,330.09,31781.62,588.55,16573.74,306.92,10304.6,190.83,70,1.3,84,1.56
BANG BROS,52,38,73.08,48693,936.4,134,2.58,71,1.37,143,2.75,349,6.71,294,5.65,90,1.73,38.4,857.1,148.06,271626,5223.58,184173,3541.79,87453,1681.79,2408,46.31,7575,145.67,49708,955.92,27897,536.48,21811,419.44,356,6.85,1868,35.92,5067.98,97.46,7609.45,146.34,41927,806.29,52315,1006.06,6675,128.37,74150800,1425976.88,32457.41,624.18,20457.36,393.41,4679.11,89.98,38769.44,745.57,17783.43,341.99,1041.04,20.02,839.57,16.15,0,4780,91.92,43787.39,842.07,13806.47,265.51,40157.25,772.25,17436.54,335.32,31027.81,596.69,16314.34,313.74,10251.7,197.15,99,1.9,79,1.52
