replay id,replay title,map,date,result,team name,opposing team name,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time in front of ball,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,demos inflicted,demos taken
046d3ab7-fa53-4432-8b97-663aac7e308a,2020-12-13.20.48 David Private Win,Champions Field,2020-12-13 20:48:45,loss,GOALDEN SHOWERS,BRONZEBACK,719,1,1,4,7,7,2,14.29,876,125.42,4535,2739,1796,38,144,1075,475,600,6,40,119.05,64.17,484,997,133,1238599,591.42,327.84,80.03,687.24,290.4,21.64,20.76,92,222.49,776.78,222.49,650.03,349.25,473.74,320.59,204.94,0,1
046d3ab7-fa53-4432-8b97-663aac7e308a,2020-12-13.20.48 David Private Win,Champions Field,2020-12-13 20:48:45,win,BRONZEBACK,GOALDEN SHOWERS,932,2,1,6,7,7,1,28.57,909,160.16,4844,3601,1243,44,111,568,308,260,4,22,94.28,117.14,569,843,92,1312768,566.25,353.51,83.44,626.83,341.21,35.16,29.94,145,230.49,772.69,230.49,752.52,250.66,590.67,283.15,129.36,1,0
7be05002-b5b0-4e94-b279-c70bc2cdbd05,2020-12-22.23.24 Robzo Boost Private Win,Utopia Coliseum,2020-12-22 23:24:08,win,BIGBOOSTERBRAND,BOOM SQUAD,794,3,2,0,5,0,0,60,840,144.72,4717,3424,1293,40,118,1344,901,443,10,40,135.76,107.46,412,614,96,1232552,607.66,356.51,36.14,669.57,313.54,17.2,17.6,133,213.43,786.87,213.43,570.52,429.79,403.92,327.42,268.97,2,1
7be05002-b5b0-4e94-b279-c70bc2cdbd05,2020-12-22.23.24 Robzo Boost Private Win,Utopia Coliseum,2020-12-22 23:24:08,loss,BOOM SQUAD,BIGBOOSTERBRAND,442,0,0,2,0,5,3,0,783,142.19,4096,2866,1230,36,106,586,355,231,6,20,141.67,117.11,388,667,159,1279978,577.86,366.52,52.93,643.14,336.09,18.08,13.46,79,338.77,658.55,338.77,778.82,218.5,627.09,243.85,126.37,1,2
a77f2cdd-2ad4-40f6-9a32-3bf8baa723b8,2021-01-04.22.16 Player Private Loss,Rivals Arena,2021-01-04 22:16:16,loss,BIGBOOSTERBRAND,RIHANNAS TOILET,864,1,0,5,8,5,2,12.5,834,138.57,5012,2919,2093,36,160,1375,773,602,9,47,110.99,103.16,473,717,145,1438339,722.52,370.43,65.78,777.78,364.62,16.34,18.26,148,340.28,818.47,340.28,831.94,326.8,631.54,340.12,187.09,3,3
a77f2cdd-2ad4-40f6-9a32-3bf8baa723b8,2021-01-04.22.16 Player Private Loss,Rivals Arena,2021-01-04 22:16:16,win,RIHANNAS TOILET,BIGBOOSTERBRAND,904,2,1,5,5,8,1,40,885,137.28,5564,3809,1755,47,140,1322,857,465,11,41,125.38,114.1,881,900,241,1416914,714.78,366.21,79.1,784.14,363.14,12.8,27.43,170,254.89,905.2,254.89,782.92,377.18,602.03,332.11,225.96,3,3
75b0b7a7-1830-4618-a254-d49b9f0c746f,2021-01-19.21.45 Player Private Win,Forbidden Temple,2021-01-19 21:45:38,win,TOXIC BROMANCE,WHAT A PLAY,1755,3,3,6,15,10,2,20,855,162.13,9224,6739,2485,82,214,1932,1226,706,15,63,184.35,261.89,1224,1545,296,2411978,1071.32,675.72,130.62,1230.87,607.88,38.92,38.93,211,472.71,1404.93,472.71,1199.84,677.81,887.47,581.74,408.43,6,3
75b0b7a7-1830-4618-a254-d49b9f0c746f,2021-01-19.21.45 Player Private Win,Forbidden Temple,2021-01-19 21:45:38,loss,WHAT A PLAY,TOXIC BROMANCE,1622,2,2,8,10,15,3,20,844,136.27,8405,5882,2523,72,210,1183,629,554,7,48,244.13,216.46,1578,1341,76,2420616,1065.48,665.64,137.19,1256.68,587.33,24.29,32.66,167,500.86,1367.45,500.86,1343.75,524.58,1068.07,492.29,307.94,3,6
b8287ba7-23e2-4c92-aed0-5ae17d8ddc15,2021-01-28.20.54 RisingStocks Private Win,Beckwith Park,2021-01-28 20:54:43,loss,WHAT A PLAY,MOTION W LOTION,911,1,1,5,5,9,3,20,855,146.26,4684,3295,1389,42,119,606,377,229,4,20,125.5,117.15,899,922,21,1266602,604.37,349.09,68.38,702.07,310.04,9.73,18.41,84,286.55,735.3,286.55,742.39,279.46,589.4,293.02,139.43,1,2
b8287ba7-23e2-4c92-aed0-5ae17d8ddc15,2021-01-28.20.54 RisingStocks Private Win,Beckwith Park,2021-01-28 20:54:43,win,MOTION W LOTION,WHAT A PLAY,895,3,1,3,9,5,1,33.33,872,165.9,4905,3437,1468,48,123,752,480,272,7,25,112.67,131.4,750,1409,220,1396063,539.45,402.08,83.51,659.09,341.39,24.56,20.23,160,231.59,793.46,231.59,707.21,317.84,535.65,300.69,188.71,2,1
