,MP,W,L,W%,GP,GW,GL,GD
Bronzeback Mountain,14,12,2,85.7%,56,39,17,22
Crossbar Kings,14,11,3,78.6%,51,35,16,19
GOALden Showers,14,11,3,78.6%,57,37,20,17
Bang Bros,14,11,3,78.6%,52,38,14,24
Litty Kitties,14,9,5,64.3%,56,30,26,4
Our Toxic Bromance,14,7,7,50.0%,56,27,29,-2
Big Booster Brand,14,7,7,50.0%,56,28,28,0
Boom Squad,14,7,7,50.0%,56,28,28,0
Boostiality,14,6,8,42.9%,59,28,31,-3
Motion With Some Lotion,14,6,8,42.9%,61,28,33,-5
Rihanna's Toilet Seat,14,5,9,35.7%,54,23,31,-8
Aerial Airheads,14,5,9,35.7%,57,24,33,-9
Goals Next Door,14,4,10,28.6%,59,24,35,-11
Smut Daddies,14,3,11,21.4%,54,18,36,-18
W.A.P (What A Play!),14,1,13,7.1%,50,10,40,-30
