team name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time behind ball,time behind ball per game,time in front of ball,time in front of ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
MOTION W LOTION,17,9,52.94,14116,830.35,32,1.88,18,1.06,43,2.53,98,5.76,99,5.82,37,2.18,32.65,882.29,154.52,91832,5401.88,64295,3782.06,27537,1619.82,801,47.12,2326,136.82,14398,846.94,7171,421.82,7227,425.12,90,5.29,618,36.35,1904.6,112.04,1607.97,94.59,14329,842.88,16034,943.18,1779,104.65,24984520,1469677.62,10378.14,610.48,7207.9,423.99,1429.86,84.11,12491.18,734.78,6233.71,366.69,291.09,17.12,422.41,24.85,0,2783,163.71,14091.71,828.92,4924.2,289.66,13242.91,778.99,5772.92,339.58,10292.23,605.43,5430.8,319.46,3292.86,193.7,16,0.94,25,1.47
WHAT A PLAY,10,1,10,6532,653.2,11,1.1,4,0.4,27,2.7,35,3.5,67,6.7,29,2.9,31.43,849.1,147.18,47215,4721.5,34297,3429.7,12918,1291.8,427,42.7,1127,112.7,8461,846.1,5404,540.4,3057,305.7,64,6.4,264,26.4,1453.13,145.31,1306.08,130.61,7261,726.1,8615,861.5,1021,102.1,13186802,1318680.25,5904.11,590.41,3595.99,359.6,806.1,80.61,6941.22,694.12,3194.66,319.47,170.3,17.03,162.52,16.25,0,866,86.6,7329.56,732.96,2976.61,297.66,7378.19,737.82,2927.99,292.8,5789.69,578.97,2803.57,280.36,1712.91,171.29,13,1.3,16,1.6
BOOSTIALITY,18,8,44.44,16760,931.11,34,1.89,16,0.89,59,3.28,129,7.17,114,6.33,35,1.94,26.36,768.28,145.57,91242,5069,63141,3507.83,28101,1561.17,777,43.17,2426,134.78,17579,976.61,10553,586.28,7026,390.33,131,7.28,606,33.67,2360.59,131.14,3649.27,202.74,13611,756.17,14222,790.11,2075,115.28,24736928,1374273.75,14228.17,790.45,5787.56,321.53,1355.05,75.28,15149.53,841.64,5802.52,322.36,418.64,23.26,564.76,31.38,0,3380,187.78,16545.09,919.17,4825.65,268.09,15710.27,872.79,5660.45,314.47,12781.91,710.11,5360.81,297.82,3228.1,179.34,19,1.06,19,1.06
BIGBOOSTERBRAND,8,6,75,6878,859.75,18,2.25,8,1,20,2.5,52,6.5,41,5.12,9,1.12,34.62,828.62,146.06,38738,4842.25,25103,3137.88,13635,1704.38,326,40.75,1167,145.88,9740,1217.5,5562,695.25,4178,522.25,67,8.38,347,43.38,909.91,113.74,919.82,114.98,4541,567.62,7738,967.25,1064,133,10834654,1354331.75,5056.44,632.05,2995.25,374.41,494.82,61.85,5946.26,743.28,2438.15,304.77,162.12,20.26,115.17,14.4,0,920,115,6505.06,813.13,2041.45,255.18,5502.35,687.79,3044.17,380.52,4055.39,506.92,2705.63,338.2,1785.52,223.19,10,1.25,9,1.12
AERIAL AIRHEADS,20,7,35,14268,713.4,25,1.25,9,0.45,55,2.75,81,4.05,121,6.05,39,1.95,30.86,719,143.56,83626,4181.3,54530,2726.5,29096,1454.8,669,33.45,2480,124,15196,759.8,8427,421.35,6769,338.45,104,5.2,585,29.25,2352.34,117.62,2463.94,123.2,7649,382.45,12226,611.3,1744,87.2,25414166,1270708.25,13757.05,687.85,6282.06,314.1,1082.57,54.13,14704.73,735.24,6014.05,300.7,402.88,20.14,318.01,15.9,0,1394,69.7,15540.51,777.03,5581.23,279.06,15289.39,764.47,5832.32,291.62,11988.22,599.41,5918.58,295.93,3214.94,160.75,23,1.15,26,1.3
LITTY KITTIES,12,4,33.33,10206,850.5,22,1.83,6,0.5,45,3.75,71,5.92,98,8.17,34,2.83,30.99,735,161.84,57308,4775.67,38104,3175.33,19204,1600.33,494,41.17,1706,142.17,9775,814.58,5345,445.42,4430,369.17,72,6,390,32.5,1039.53,86.63,2219.13,184.93,7541,628.42,11646,970.5,1891,157.58,16411460,1367621.62,8877.11,739.76,3931.85,327.65,919.83,76.65,9586.79,798.9,3874.32,322.86,267.75,22.31,328.93,27.41,0,1667,138.92,10426.78,868.9,3302.01,275.17,10328.32,860.69,3400.51,283.38,8378.63,698.22,3498.69,291.56,1851.52,154.29,18,1.5,28,2.33
CROSSBAR KINGS,19,15,78.95,18761,987.42,55,2.89,32,1.68,52,2.74,130,6.84,104,5.47,32,1.68,42.31,860.05,152.15,100005,5263.42,66121,3480.05,33884,1783.37,848,44.63,2995,157.63,23151,1218.47,13623,717,9528,501.47,173,9.11,857,45.11,1757.23,92.49,2415.42,127.13,15030,791.05,19321,1016.89,3728,196.21,27961244,1471644.38,11683.11,614.9,7612.53,400.66,1791.69,94.3,14115.01,742.9,6590.84,346.89,381.51,20.08,382.1,20.11,0,2972,156.42,15691.68,825.88,5395.64,283.98,13751.48,723.76,7335.76,386.09,10354.62,544.98,6338.35,333.6,4394.39,231.28,73,3.84,30,1.58
BOOM SQUAD,17,10,58.82,15430,907.65,39,2.29,22,1.29,49,2.88,100,5.88,104,6.12,38,2.24,39,870.65,147.75,93330,5490,65500,3852.94,27830,1637.06,815,47.94,2390,140.59,15599,917.59,9203,541.35,6396,376.24,124,7.29,538,31.65,2106.08,123.89,2480.82,145.93,15580,916.47,16148,949.88,3056,179.76,25396504,1493912,11141.91,655.41,7145.06,420.3,1397.85,82.23,13250.19,779.42,6086.7,358.04,347.95,20.47,287.23,16.9,0,1541,90.65,14974.59,880.86,4710.3,277.08,14208.92,835.82,5475.82,322.11,11190.61,658.27,5272.73,310.16,3221.48,189.5,19,1.12,34,2
SMUT DADDIES,16,5,31.25,12376,773.5,22,1.38,6,0.38,55,3.44,73,4.56,125,7.81,33,2.06,30.14,819.31,166.16,82795,5174.69,58847,3677.94,23948,1496.75,774,48.38,2084,130.25,17789,1111.81,11636,727.25,6153,384.56,152,9.5,548,34.25,1317.8,82.36,2764.76,172.8,8631,539.44,18802,1175.12,3608,225.5,22494508,1405906.75,10235.71,639.73,6148.61,384.29,1359.11,84.94,11840.59,740.04,5584.82,349.05,318.07,19.88,413.56,25.85,0,2475,154.69,12762.98,797.69,4980.46,311.28,12199.64,762.48,5543.75,346.48,9462.8,591.43,5042.24,315.14,3238.32,202.39,19,1.19,28,1.75
BANGBROS,17,9,52.94,15012,883.06,35,2.06,20,1.18,55,3.24,103,6.06,115,6.76,36,2.12,33.98,863.29,150.05,92125,5419.12,61619,3624.65,30506,1794.47,822,48.35,2654,156.12,16362,962.47,8489,499.35,7873,463.12,113,6.65,686,40.35,1527.08,89.83,2713.11,159.59,14636,860.94,18799,1105.82,2319,136.41,24728812,1454636,10839.81,637.64,6735.18,396.19,1600.67,94.16,13219.84,777.64,5617.32,330.43,338.48,19.91,243.34,14.31,0,1350,79.41,14481.57,851.86,4694.08,276.12,13442.06,790.71,5733.5,337.26,10389.58,611.15,5467.46,321.62,3318.59,195.21,32,1.88,26,1.53
GOALDEN SHOWERS,26,15,57.69,23651,909.65,63,2.42,33,1.27,73,2.81,174,6.69,141,5.42,47,1.81,36.21,909.88,138.7,139082,5349.31,90477,3479.88,48605,1869.42,1179,45.35,4170,160.38,30920,1189.23,17722,681.62,13198,507.62,227,8.73,1128,43.38,3060.81,117.72,2514.45,96.71,14926,574.08,27247,1047.96,4941,190.04,35221504,1354673.25,16484.73,634.03,9509.62,365.75,2112.62,81.25,19214.29,739.01,8328.8,320.34,563.9,21.69,657.46,25.29,0,3094,119,21313.6,819.75,6793.32,261.28,18749.96,721.15,9356.75,359.87,14285.39,549.44,8294.96,319.04,5526.53,212.56,36,1.38,31,1.19
BRONZEBACK,17,9,52.94,15753,926.65,43,2.53,15,0.88,46,2.71,137,8.06,98,5.76,36,2.12,31.39,934.76,154.89,94618,5565.76,67364,3962.59,27254,1603.18,821,48.29,2397,141,16184,952,8820,518.82,7364,433.18,108,6.35,644,37.88,1585.64,93.27,1963.36,115.49,13622,801.29,14940,878.82,1859,109.35,23883438,1404908.12,10336.89,608.05,6404.52,376.74,1579.93,92.94,12002.3,706.02,5824.65,342.63,494.39,29.08,437.78,25.75,0,2431,143,14059.41,827.02,4261.95,250.7,12710.11,747.65,5611.22,330.07,9740.47,572.97,5402.75,317.81,3178.09,186.95,22,1.29,19,1.12
GOALSNEXTDOOR,18,8,44.44,14286,793.67,30,1.67,16,0.89,48,2.67,110,6.11,96,5.33,34,1.89,27.27,799.94,156.21,81366,4520.33,56569,3142.72,24797,1377.61,708,39.33,2175,120.83,16527,918.17,10080,560,6447,358.17,124,6.89,572,31.78,1409.05,78.28,2460.02,136.67,8803,489.06,14527,807.06,2405,133.61,22962360,1275686.62,11738.02,652.11,5826.55,323.7,1115.04,61.95,12746.69,708.15,5537.59,307.64,395.33,21.96,368.73,20.48,0,2087,115.94,13465.81,748.1,5213.84,289.66,12894.73,716.37,5784.96,321.39,9682.96,537.94,5712.26,317.35,3284.43,182.47,16,0.89,27,1.5
TOXIC BROMANCE,18,11,61.11,16257,903.17,42,2.33,24,1.33,55,3.06,116,6.44,113,6.28,33,1.83,36.21,880.06,159.32,95226,5290.33,71473,3970.72,23753,1319.61,889,49.39,2030,112.78,19307,1072.61,12423,690.17,6884,382.44,156,8.67,607,33.72,1775.13,98.62,3833.49,212.97,15479,859.94,17798,988.78,3192,177.33,24704740,1372485.5,11527.59,640.42,6531.88,362.88,1432.51,79.58,13144.88,730.27,5915.46,328.64,431.56,23.98,314.27,17.46,0,1631,90.61,14460.73,803.37,5031.28,279.52,13039.45,724.41,6452.56,358.48,9856.17,547.57,5795.06,321.95,3840.79,213.38,40,2.22,29,1.61
